Open,High,Low,Close,Volume
97120.96,97002.22,97150.0,97002.21,0.72358965
97002.21,96946.35,97050.01,96936.42,2.78219756
96946.35,96936.01,96998.31,96936.01,1.60073447
96936.01,96863.54,96936.02,96863.54,0.33241846
96863.55,96987.77,96999.98,96863.54,1.75453528
96987.78,97050.5,97099.99,96987.77,2.92485182
97050.49,97085.01,97099.99,97043.24,3.62100128
97085.0,97000.0,97085.0,96898.33,2.2843187
97000.0,97064.28,97085.01,97000.0,0.87892025
97064.28,97185.0,97200.0,97064.27,1.27303731
97185.0,97279.7,97293.02,97169.9,1.01779695
97279.7,97296.0,97297.0,97272.96,1.81745269
97296.01,97314.15,97320.89,97272.96,0.43894273
97314.14,97272.96,97349.99,97272.96,1.90894697
97272.96,97106.26,97272.96,97070.38,2.77161713
97106.25,97025.31,97148.67,97025.3,0.62735774
97025.3,97152.97,97152.98,96980.1,1.17931727
97152.98,97112.74,97152.98,97108.24,0.40648589
97112.75,97088.2,97118.49,97088.19,1.04279373
97088.2,97140.29,97172.99,97088.2,1.61393203
97140.29,97079.27,97161.14,97079.26,0.99926487
97079.26,96866.14,97079.27,96842.85,1.95039565
96866.15,96932.5,96972.53,96866.14,1.24627273
96932.49,96750.56,96972.41,96750.55,2.53052126
96750.56,96557.48,96750.56,96557.48,2.72255108
96557.48,96584.69,96649.97,96550.0,5.36280488
96584.69,96710.95,96750.55,96584.68,1.80612528
96710.95,96750.56,96750.56,96710.94,2.64300834
96750.56,96728.41,96813.69,96728.41,2.40941514
96728.41,96725.1,96784.63,96724.4,1.86359962
96725.11,96650.34,96725.11,96650.33,0.974086
96650.33,96652.08,96652.08,96622.54,0.92421678
96652.07,96609.65,96652.07,96566.44,1.54201684
96590.62,96509.12,96590.63,96509.12,0.77159626
96509.12,96575.48,96599.99,96476.41,1.34908125
96575.49,96651.2,96660.49,96575.49,0.73280477
96651.2,96700.09,96742.5,96651.19,1.95233093
96700.1,96887.6,96951.12,96700.1,3.19578671
96887.6,96838.36,96949.27,96834.48,1.14873749
96838.37,96858.93,96879.59,96827.44,1.49182695
96858.94,96763.76,96866.84,96753.94,2.90361225
96753.95,96622.04,96753.96,96622.04,2.28397256
96622.03,96485.08,96622.03,96485.07,1.78951859
96485.08,96572.09,96572.09,96457.27,0.93065967
96572.08,96457.29,96584.84,96457.28,0.74079878
96457.29,96456.87,96458.0,96446.22,0.46428351
96454.79,96564.3,96572.2,96452.26,1.52801372
96564.31,96632.53,96637.26,96564.31,2.79484231
96632.52,96520.44,96632.53,96520.42,0.67161238
96520.43,96553.0,96553.01,96485.51,1.36135973
96553.01,96600.43,96646.85,96512.5,1.62392827
96600.44,96506.52,96646.85,96485.53,2.98853812
96506.52,96352.66,96558.25,96352.66,1.64693414
96352.66,96509.96,96619.11,96348.47,2.14713711
96509.97,96687.2,96687.36,96494.26,2.07757607
96687.12,96795.73,96847.46,96644.27,1.50003443
96795.74,96752.23,96795.74,96752.23,0.72301138
96752.24,96725.75,96821.12,96725.74,0.89401463
96725.75,96602.87,96732.99,96563.78,0.58793018
96602.88,96602.88,96617.75,96552.49,0.66473046
96602.88,96602.88,96657.75,96602.87,0.18961141
96602.87,96502.07,96607.53,96502.07,0.95778335
96502.08,96398.69,96502.08,96398.69,0.82836325
96398.69,96417.12,96426.34,96380.0,0.55127077
96406.96,96499.99,96499.99,96406.95,0.25391228
96499.99,96543.2,96543.24,96499.99,0.16746994
96543.21,96651.49,96700.46,96543.2,0.59831195
96651.49,96613.14,96699.89,96613.14,2.28530093
96613.14,96575.13,96613.15,96575.13,0.79846102
96575.13,96575.14,96580.73,96575.13,0.40406163
96575.13,96569.26,96575.14,96569.26,0.4039363
96569.26,96644.1,96644.12,96510.36,1.46450858
96644.1,96749.98,96749.99,96623.63,0.62822755
96749.99,96600.0,96749.99,96600.0,1.67888584
96600.01,96581.07,96600.01,96581.06,0.75847878
96581.07,96477.94,96637.77,96477.94,1.51984601
96477.95,96443.42,96554.68,96432.76,0.27679113
96443.42,96488.27,96505.37,96438.52,0.32224005
96488.26,96529.8,96599.59,96488.26,0.41232881
96529.82,96555.05,96597.85,96529.82,0.983612
96555.07,96564.16,96597.88,96555.07,0.29443073
96564.17,96545.55,96597.97,96545.35,1.80916644
96545.56,96425.38,96545.59,96425.35,0.62812701
96425.37,96429.06,96476.64,96341.3,1.23672655
96429.08,96427.96,96480.96,96427.95,1.07184807
96427.96,96372.7,96427.97,96372.7,0.30995468
96372.72,96372.71,96372.72,96372.71,0.45652492
96372.71,96368.86,96372.71,96368.86,0.22531481
96368.87,96300.0,96405.63,96300.0,0.81607101
96300.0,96208.38,96300.0,96208.37,0.88741012
96208.38,96265.44,96285.6,96200.37,1.52473828
96265.45,96316.7,96382.2,96265.45,1.6974607
96316.7,96353.07,96382.28,96316.7,0.44137422
96353.08,96398.61,96432.78,96353.08,0.64130698
96398.61,96273.01,96398.61,96270.41,0.8260068
96273.01,96263.96,96273.02,96220.38,0.60033667
96263.96,96400.0,96400.02,96263.96,3.70289918
96400.0,96401.43,96401.43,96400.0,1.50173602
96401.42,96450.01,96450.02,96401.42,1.22148413
96450.01,96489.55,96499.95,96450.01,0.40756902
96489.55,96566.49,96572.95,96489.55,0.18686291
96566.49,96551.34,96587.71,96482.16,0.22039462
96551.33,96630.51,96668.33,96546.49,0.2539131
96630.51,96605.45,96656.96,96601.9,1.08116157
96605.44,96829.42,96843.99,96605.44,0.83798066
96829.41,96833.75,96858.18,96776.63,0.29910482
96833.74,96869.17,97042.61,96833.74,1.50500906
96869.18,96778.09,96869.18,96778.09,0.45525937
96778.08,96816.42,96816.42,96777.41,0.90738242
96816.52,96889.87,96889.87,96808.92,0.39351081
96889.89,96916.1,96959.5,96887.82,0.90773694
96916.1,97000.0,97000.0,96916.1,1.08280912
97000.0,97092.51,97170.59,97000.0,1.99998318
97077.76,97075.57,97095.52,97034.27,0.16133846
97078.62,96992.15,97078.66,96968.99,0.63931819
97007.32,97098.67,97098.67,96992.16,0.15504622
97098.67,97122.29,97132.1,97098.67,0.67101419
97122.3,97031.63,97122.3,97031.63,0.21642468
97031.64,96944.01,97031.64,96902.44,0.84237027
96944.01,96968.39,96983.83,96944.01,1.00512868
96964.9,96837.6,96964.9,96800.01,1.02834641
96837.6,96886.43,96906.52,96800.02,0.39547309
96874.36,96993.51,96993.51,96874.35,0.58360763
96993.51,96969.59,97000.0,96969.59,0.09943789
96969.61,96802.13,96969.61,96753.87,0.78689107
96791.6,96809.45,96810.37,96740.13,0.35062048
96810.36,96778.39,96810.37,96778.37,0.58897447
96778.38,96832.32,96843.03,96778.38,1.05736107
96825.43,96863.1,96866.62,96825.43,0.94806676
96863.1,96967.83,96999.99,96863.1,1.76787964
96967.83,97000.0,97000.0,96967.83,0.44345462
96999.99,96978.7,97000.0,96927.81,1.14012542
96974.48,96935.48,96974.48,96905.94,0.3121522
96935.48,96987.4,96987.41,96935.47,0.11881309
96987.4,96987.62,96999.99,96987.4,0.09612563
96987.63,96949.08,96987.63,96949.06,0.35497005
96949.09,97023.95,97023.98,96949.09,0.82544714
97023.95,97020.99,97050.38,97020.3,0.77172656
97020.99,97149.99,97149.99,97020.99,0.91313762
97149.98,97061.04,97149.99,97061.02,1.02964182
97061.03,97040.0,97061.04,97040.0,0.38718465
97040.0,97039.6,97056.48,97039.59,0.97363695
97039.6,97129.99,97130.0,97039.6,0.34040025
97111.38,97150.0,97174.63,97111.38,0.37484676
