2025-04-26 20:28:15,916 - INFO - Exited LONG at 94465.25 → Return: -0.20%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,916 - INFO - Entered LONG at 94573.77, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,916 - INFO - Exited LONG at 94622.14 → Return: 0.05%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,916 - INFO - Entered LONG at 94327.97, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,916 - INFO - Exited LONG at 94084.41 → Return: -0.26%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,916 - INFO - Entered LONG at 94217.87, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,919 - INFO - Backtest complete: 27 trades, Avg Return: 0.02%
2025-04-26 20:28:15,919 - INFO - Entered LONG at 93502.78, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,919 - INFO - Exited LONG at 93212.27 → Return: -0.31%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,920 - INFO - Entered LONG at 92996.54, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,920 - INFO - Exited LONG at 92790.27 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,920 - INFO - Entered LONG at 92883.13, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,920 - INFO - Exited LONG at 93039.23 → Return: 0.17%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,921 - INFO - Entered LONG at 93381.25, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,921 - INFO - Exited LONG at 93362.66 → Return: -0.02%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,921 - INFO - Entered LONG at 92679.78, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,921 - INFO - Exited LONG at 93731.80 → Return: 1.14%, Reason: take_profit, Capital: 10.00
2025-04-26 20:28:15,921 - INFO - Entered LONG at 93873.28, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,922 - INFO - Exited LONG at 93755.59 → Return: -0.13%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,922 - INFO - Entered LONG at 93524.54, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,922 - INFO - Exited LONG at 93519.48 → Return: -0.01%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,922 - INFO - Entered LONG at 93687.07, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,922 - INFO - Exited LONG at 93503.89 → Return: -0.20%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,923 - INFO - Entered LONG at 93391.34, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,923 - INFO - Exited LONG at 93120.25 → Return: -0.29%, Reason: signal_flip, Capital: 10.00
